STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
03615099999,ABERDARE,1973-01-01,1979-04-27,null,UK,51.717,-3.467,174
03404099999,ABERDOVEY,1973-02-06,2005-10-17,null,UK,52.55,-4.067,22
03411099999,ABERHOSAN,1992-08-01,1997-12-03,null,UK,52.567,-3.717,244
03502099999,ABERPORTH,1973-01-01,2024-01-06,null,UK,52.1333333,-4.5666667,134
03653099999,ABINGDON(RAF),1973-01-01,1975-11-13,null,UK,51.683,-1.317,80
03080099999,ABOYNE NO2,1989-04-12,2024-01-06,null,UK,57.0833333,-2.8333333,140
03238099999,ALBEMARLE,2003-03-30,2024-01-06,null,UK,55.0166666,-1.8666666,146
03562199999,ALCONBURY RAF,1973-01-01,1988-01-05,null,UK,52.367,-0.217,49
03562099999,ALCONBURY RAF,1999-05-15,2005-07-10,null,UK,52.3666666,-0.2166666,47.87
03562399999,ALCONBURY RAF     &,1943-01-13,1995-03-31,null,UK,52.367,-0.217,49
03598099999,ALDEBURGH,1973-04-02,2005-09-08,null,UK,52.15,1.6,9
03917099999,ALDERGROVE,1930-02-28,2024-01-06,null,UK,54.6575,-6.215833,81.68
03044099999,ALTNAHARRA NO2,1993-03-02,2024-01-06,null,UK,58.2833333,-4.4333333,80
03684099999,ANDREWSFIELD,1998-03-01,2024-01-06,null,UK,51.8833333,0.45,87
03913099999,ANNAGHMORE,1981-05-06,1985-12-17,null,UK,54.45,-6.567,27
03793099999,ANVIL GREEN,1973-01-01,2005-02-18,null,UK,51.2,1.017,139
03041099999,AONACH MOR,1992-03-02,2024-01-06,null,UK,56.8166666,-4.9666666,1130
03129099999,ARDROSSAN,1973-01-01,2001-06-29,null,UK,55.65,-4.817,9
03795199999,ASHFORD,1973-01-01,1974-12-21,null,UK,51.15,0.883,107
03215099999,ASPATRIA,1977-11-08,1997-12-31,null,UK,54.767,-3.317,62
74900299999,ATTLEBOROUGH,1943-09-01,1945-08-31,null,UK,52.5,0.95,32
03322099999,AUGHTON,1978-08-01,2002-02-15,null,UK,53.55,-2.917,56
03063099999,AVIEMORE,1982-12-01,2024-01-06,null,UK,57.2,-3.8333333,228
03409099999,BALA,2011-06-27,2024-01-06,null,UK,52.9,-3.5833333,163
03908099999,BALLYKELLY,1997-12-01,1997-12-31,null,UK,55.0666666,-7.0166666,5
03526099999,BARBOURNE,1997-12-01,1997-12-31,null,UK,52.2,-2.217,25
03372399999,BARKSTON HEATH,1995-11-29,2024-01-06,null,UK,52.962225,-0.561625,111.86
03567199999,BASSINGBOURN,1950-11-01,2007-03-07,null,UK,52.1,-0.05,23
03824099999,BASTREET,1975-01-22,1997-12-31,null,UK,50.567,-4.483,238
03039099999,BEALACH NA BA NO2,1989-03-01,2024-01-06,null,UK,57.4166666,-5.6833333,773
03149099999,BECAME STN 031491,1973-01-01,1981-12-31,null,UK,56.067,-4.05,335
03593099999,BECCLES (AUX),1990-02-01,2003-01-20,null,UK,52.433,1.617,22
03560099999,BEDFORD,1987-04-09,2024-01-06,null,UK,52.2166666,-0.4833333,84
03558099999,BEDFORD AIRPORT,1973-01-01,2005-04-07,null,UK,52.217,-0.483,89
03845099999,BEER-IN-DEVON,1973-03-08,1984-06-07,null,UK,50.7,-3.1,52
03658099999,BENSON,1973-01-01,2024-01-06,null,UK,51.616389,-1.095833,68.88
03657099999,BENSON (AUT),1984-07-13,1993-06-24,null,UK,51.617,-1.1,57
99999935048,BENTWATERS,1951-06-01,1967-12-31,null,UK,52.133,1.433,25.9
03596199999,BENTWATERS RAF,1973-01-01,1988-01-05,null,UK,52.133,1.433,26
03596399999,BENTWATERS RAF,1945-01-01,1992-12-29,null,UK,52.1333333,1.4333333,25.91
03596335048,BENTWATERS RAF,1993-01-04,1993-03-31,null,UK,52.133,1.433,26
03626099999,BERRY HILL,1980-09-10,1983-03-12,null,UK,51.8,-2.617,25
03164099999,BIGGAR,2001-09-16,2005-05-29,null,UK,55.6,-3.55,206
03766399999,BIGGIN HILL,1988-01-05,2024-01-06,null,UK,51.330833,0.0325,182.27
03766199999,BIGGIN HILL,1984-05-19,1988-01-05,null,UK,51.283,0.033,0
03388099999,BINBROOK(RAF),1973-01-01,2005-08-20,null,UK,53.45,-0.2,108
03344099999,BINGLEY NO.2,1973-01-01,2024-01-06,null,UK,53.8166666,-1.8666666,267
03534099999,BIRMINGHAM,1973-01-01,2024-01-06,null,UK,52.453856,-1.748028,99.66
03531099999,BIRMINGHAM/EDBASTON,1929-10-01,1979-10-13,null,UK,52.483,-1.933,163
03547199999,BITTESWELL,1973-01-01,1979-06-29,null,UK,52.45,-1.25,134
03782099999,BLACKWALL,1974-11-27,1988-11-04,null,UK,51.517,0.017,5
03235099999,BOLTSHOPE PARK,1994-11-01,1997-12-31,null,UK,54.817,-2.083,434
03746099999,BOSCOMBE DOWN,1931-01-01,2024-01-06,null,UK,51.152189,-1.747414,124.05
03240099999,BOULMER,1975-10-01,2024-01-06,null,UK,55.424167,-1.603333,21.33
03862099999,BOURNEMOUTH,1973-01-01,2024-01-06,null,UK,50.78,-1.8425,11.58
03764099999,BRACKNELL (AUT),1987-12-02,2004-02-06,null,UK,51.383,-0.8,75
03763099999,BRACKNELL/BEAUFORT,1973-01-01,2023-05-24,null,UK,51.3833333,-0.7833333,74
03603099999,BRAWDY(RAF),1974-10-08,2001-09-25,null,UK,51.883,-5.117,111
03881099999,BREDE,1988-08-08,1997-12-31,null,UK,50.933,0.6,82
03096099999,BRIDGE OF CLAY,2001-09-16,2004-08-11,null,UK,56.65,-3.383,175
03292099999,BRIDLINGTON MRSC,1987-04-30,2024-01-06,null,UK,54.1,-0.1666666,19
03724399999,BRISTOL,1988-01-05,2024-01-06,null,UK,51.382669,-2.719089,189.58
03628399999,BRISTOL FILTON,1994-07-18,1997-12-30,null,UK,51.519444,-2.590833,68.88
03726099999,BRISTOL WEA CENTER,1981-08-01,1997-12-31,null,UK,51.467,-2.6,11
03724199999,BRISTOL/LULSGATE,1973-01-01,1988-01-05,null,UK,51.383,-2.717,189
03649099999,BRIZE NORTON,1951-08-01,2024-01-06,null,UK,51.749964,-1.583617,87.78
03036099999,BROADFORD,1988-03-01,1991-05-13,null,UK,57.25,-5.867,8
03216099999,BROMFIELD,1973-01-01,1978-03-23,null,UK,54.8,-3.283,20
99999915042,BRUNTINGTHORPE,1957-07-01,1962-08-24,null,UK,52.467,-1.117,150.9
03611099999,BRYNAMMAN,1973-01-01,1985-11-07,null,UK,51.817,-3.867,182
03242099999,BURNHOPE,1973-01-01,1997-03-21,null,UK,54.817,-1.717,244
03830099999,BURRINGTON,1975-05-21,1997-12-31,null,UK,50.933,-3.983,199
03065099999,CAIRNGORM SUMMIT,1985-01-06,2024-01-06,null,UK,57.1166666,-3.6333333,1245
03072099999,CAIRNWELL,1997-12-01,2024-01-06,null,UK,56.8833333,-3.4166666,933
03869099999,CALSHOT-IN-HANTS,1973-03-08,1983-07-04,null,UK,50.817,-1.3,3
03808099999,CAMBORNE,1973-01-01,2024-01-06,null,UK,50.2166666,-5.3166666,88
03571599999,CAMBRIDGE,1977-02-01,2024-01-05,null,UK,52.205,0.175,14.32
03571099999,CAMBRIDGE,1973-01-01,1975-01-06,null,UK,52.2,0.183,15
03139499999,CAMPBELTOWN,1999-01-18,2024-01-05,null,UK,55.437222,-5.686389,12.8
03305099999,CAPEL CURIG NO3,1994-10-01,2024-01-06,null,UK,53.1,-3.9333333,215
03501099999,CAPEL DEWI,1999-05-14,2004-10-29,null,UK,52.4166666,-4,92
03715099999,CARDIFF,1973-01-01,2024-01-06,null,UK,51.396667,-3.343333,67.05
03717099999,CARDIFF WEATHER CENTRE,1984-06-14,1997-12-31,null,UK,51.4833333,-3.1833333,52
03559099999,CARDINGTON,1930-03-01,2005-02-03,null,UK,52.1,-0.4166666,29
03823099999,CARDINHAM  BODMIN,1987-07-08,2024-01-06,null,UK,50.5,-4.6666666,199
03220099999,CARLISLE,1988-06-01,2024-01-06,null,UK,54.9333333,-2.9666666,27
03222099999,CARLISLE,1973-01-01,2020-03-27,null,UK,54.9375,-2.809167,57.91
03906099999,CARMONEY,1977-08-03,1997-12-31,null,UK,55.017,-7.233,73
03905099999,CARRIGANS,1973-01-01,2001-11-16,null,UK,54.667,-7.317,113
03176099999,CARTERHOUSE,1989-10-01,1997-12-31,null,UK,55.3666666,-2.5166666,308
03904099999,CASTLEDERG,1997-12-01,2024-01-06,null,UK,54.7,-7.5833333,50
03918099999,CASTOR BAY,1943-10-04,2016-09-06,null,UK,54.5,-6.3333333,18
03280099999,CATTERICK,1931-11-13,1939-09-30,null,UK,54.367,-1.617,53
03221099999,CAUSEWAY FOOT,1973-08-09,1977-11-01,null,UK,54.583,-3.083,160
03338099999,CELLARHEAD,1975-04-26,1997-03-20,null,UK,53.033,-2.083,228
03505199999,CENARTH MILL,1973-01-01,1975-07-29,null,UK,52.383,-3.5,282
03504099999,CENARTH-IN-RADNOR,1976-06-01,1982-01-06,null,UK,52.383,-3.533,305
03785099999,CHARING,1980-09-10,1997-12-31,null,UK,51.2,0.783,91
03769099999,CHARLWOOD,1992-03-01,2024-01-06,null,UK,51.1438889,-0.2294444,68
03158099999,CHARTERHALL,1987-10-02,2024-01-06,null,UK,55.7,-2.3833333,111
03833099999,CHAWLEIGH,1973-01-01,1983-01-16,null,UK,50.9,-3.8,160
99999915015,CHELVESTON,1956-06-01,1964-02-29,null,UK,52.3,0.533,92
03674099999,CHENIES(AUTO),1992-10-01,1997-12-31,null,UK,51.683,-0.533,139
03707099999,CHIVENOR,1973-01-01,2024-01-06,null,UK,51.087167,-4.150339,8.22
03355099999,CHURCH FENTON,1973-01-01,1997-12-23,null,UK,53.834333,-1.1955,8.83
03544099999,CHURCH LAWFORD,1983-08-24,2024-01-06,null,UK,52.3666666,-1.3333333,106
