STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
48855699999,AN HOA,1967-07-31,1970-09-09,null,VM,15.783,108.083,23
48867199999,AN KHE,1965-11-30,1970-12-12,null,VM,13.967,108.667,421
48913099999,BA-XUYEN/SOC TRANG,1949-05-02,1997-12-08,null,VM,9.6,105.967,5
48810099999,BAC CAN,1959-05-01,2024-03-17,null,VM,22.15,105.8333333,176
48875099999,BANMETHUOT,1956-12-31,2024-03-17,null,VM,12.6833333,108.0833333,537
48884099999,BAO-LOC (BLAO),1961-05-26,1979-08-09,null,VM,11.467,107.8,850
48902099999,BARIA (PHUOC LE),1955-08-14,1956-10-31,null,VM,10.5,107.167,15
48881099999,BECAME STN 488811,1949-03-04,1975-03-31,null,VM,11.75,108.383,962
48896099999,BIEN-HOA AB,1958-12-31,1965-06-27,null,VM,10.967,106.817,13.4
74930999999,BLACKHORSE BASE,1966-12-31,1969-09-06,null,VM,10.817,107.217,250
48914099999,CA MAU,1957-08-31,2024-03-17,null,VM,9.1833333,105.15,2
48852699999,CAMP EAGLE,1968-03-31,1972-01-10,null,VM,16.4,107.633,38
48866599999,CAMP ENARI,1966-09-30,1970-02-28,null,VM,13.85,108.05,835
48851599999,CAMP EVANS,1968-02-01,1971-12-18,null,VM,16.55,107.383,30
48867599999,CAMP RADCLIFF/ANKHE,1970-03-12,1970-11-16,null,VM,13.983,108.65,771
48911099999,CAN THO,1963-05-03,1964-12-30,null,VM,10.05,105.767,null
48912599999,CAN THO,1965-12-13,2024-03-17,null,VM,10.0833333,105.7166666,3.05
48912599999,CAN THO,1965-12-13,2024-03-17,null,VM,10.0833333,105.7166666,3.05
48808099999,CAO BANG,1949-05-02,2024-03-17,null,VM,22.6666666,106.25,243
48825199999,CAT BI INTL ARPT/HAI PHONG,2017-05-31,2024-03-17,null,VM,20.8194007,106.724998,1.83
48825199999,CAT BI INTL ARPT/HAI PHONG,2017-05-31,2024-03-17,null,VM,20.8194007,106.724998,1.83
48864099999,CHU LAI,1965-05-31,1971-11-27,null,VM,15.417,108.7,8
48893599999,CU CHI,1966-03-31,1970-11-24,null,VM,10.983,106.517,12
48881199999,DA LAT/LIEN KHUONG,2010-03-19,2010-03-19,null,VM,11.7530527,108.3618361,961.95
74931399999,DAK TO,1967-11-01,1969-01-16,null,VM,14.667,107.8,602
48881599999,DALAT/CAM LY,1966-10-03,1971-03-15,null,VM,11.95,108.417,1517
48891099999,DAU TIENG,1966-07-31,1970-03-20,null,VM,11.267,106.317,16
48883099999,DI LINH,1949-12-13,1961-05-21,null,VM,11.567,108.067,972
48900599999,DIAN,1966-10-07,1971-03-06,null,VM,10.9,106.75,32
48849099999,DONG HA,1966-01-01,1985-07-22,null,VM,16.817,107.1,25
48848099999,DONG HOI,1974-09-24,2024-03-17,null,VM,17.4833333,106.6,8
59626099999,DONG-XING,1959-11-01,1997-12-31,null,CH,21.55,107.967,13
74931499999,DUC AN,1967-12-01,1968-02-29,null,VM,15.617,108.4,35
74931199999,DUC CO FSB,1967-03-31,1967-10-23,null,VM,13.833,107.683,402
48863599999,DUC PHO,1967-11-30,1971-06-17,null,VM,14.817,108.967,11
74931299999,EA HLEO,1967-11-12,1967-12-10,null,VM,13.217,108.233,610
48896699999,GIA RAY,1970-10-01,1971-03-14,null,VM,10.967,107.4,142
48825099999,HA DONG,1980-08-08,2024-03-17,null,VM,20.9666666,105.7666666,7.91
48846099999,HA TINH,1974-09-24,2024-03-17,null,VM,18.35,105.9,3
48819099999,HANOI (CITY),1949-04-01,1984-08-15,null,VM,21.033,105.833,10
48819399999,HANOI/GIALAM,1984-09-09,1989-07-05,null,VM,21.0333333,105.85,12
56989099999,HE-KOU,1956-08-20,2002-09-27,null,CH,22.5,103.95,1363
48900399999,HO CHI MINH/TANSONN,1978-05-27,1983-02-09,null,VM,10.817,106.667,9
48850099999,KHE SANH,1980-07-02,1982-04-20,null,VM,16.633,106.717,420
48850599999,KHE SANH,1967-07-31,1971-03-28,null,VM,16.633,106.717,420
48869599999,KONTUM,1968-04-02,1970-03-31,null,VM,14.35,108.017,595
48868599999,L.Z. ENGLISH,1968-03-03,1971-08-12,null,VM,14.467,109.033,30
48852599999,L.Z. SALLY,1968-04-02,1970-03-10,null,VM,16.517,107.467,-999
48830099999,LANG SON,1974-09-24,2024-03-17,null,VM,21.8333333,106.7666666,263
48803099999,LAO CAI,1949-05-02,2024-03-17,null,VM,22.5,103.9666666,97
48901599999,LONG THANH (NORTH),1966-07-31,1971-12-31,null,VM,10.833,106.967,41
48856141024,MARBLE MOUNTAIN,1968-01-01,1990-01-24,null,VM,16.033,108.25,9.1
99999941024,MARBLE MOUNTAIN,1966-02-01,1967-12-31,null,VM,16.033,108.25,9.1
48843099999,MUONG SEN,1980-07-10,1982-03-02,null,VM,19.4,104.15,220
48823099999,NAM DINH,1974-09-24,2024-03-17,null,VM,20.4333333,106.15,3
48894099999,NHA BE,2013-07-02,2024-03-17,null,VM,10.65,106.7166666,3.6
48820099999,NOIBAI INTL,1958-12-01,2024-03-17,null,VM,21.221192,105.807178,11.88
48889699999,PHAN RANG,1966-01-03,1975-04-02,null,VM,11.633,108.95,31
48889099999,PHAN RANG,2008-05-30,2013-04-09,null,VM,11.633,108.95,31
48887099999,PHAN THIET,1956-10-08,2024-03-17,null,VM,10.9333333,108.1,5
48911199999,PHONG DINH/CAN THO,1963-05-04,1975-04-28,null,VM,10.05,105.767,2
48867699999,PHU CAT,1966-12-31,1975-03-31,null,VM,13.95,109.05,34
48826099999,PHU LIEN,1974-09-24,2024-03-17,null,VM,20.8,106.6333333,116
48892599999,PHU LOI,1966-04-19,1971-12-31,null,VM,11,106.7,34
48917099999,PHU QUOC,1957-04-03,2024-03-17,null,VM,10.2166666,103.9666666,4
48852099999,PHUBAI,1957-01-01,2024-03-17,null,VM,16.4015,107.702614,14.63
48888099999,PHUOC LONG/SONG BE,1980-07-02,1990-07-26,null,VM,11.817,106.967,243
48888599999,PHUOC LONG/SONG BE,1968-01-15,1971-02-14,null,VM,11.817,106.967,243
48892699999,PHUOC-VINH,1966-07-31,1973-12-16,null,VM,11.3,106.8,58
74931099999,PLEI DJERENG /THREE TANGO,1966-12-20,1967-03-20,null,VM,13.966,107.65,290
48866099999,PLEIKU,1958-09-08,2024-03-17,null,VM,14.004522,108.017158,741.88
48858099999,PLEIKU AB/CU-HANH,1973-01-01,1980-12-18,null,VM,14,108.017,742
48900699999,QUAN LOI,1968-01-31,1970-09-09,null,VM,11.667,106.667,167
48863099999,QUANG NGAI,1957-12-31,2024-03-17,null,VM,15.1333333,108.7833333,9
48851099999,QUANG TRI,1958-08-13,1990-06-17,null,VM,16.733,107.183,6
99999941056,QUANG TRI,1967-12-15,1969-10-31,null,VM,16.767,107.167,14
48870099999,QUY NHON,1957-01-04,2024-03-17,null,VM,13.7666667,109.2166667,6
48907099999,RACH GIA,1956-01-17,2024-03-17,null,VM,10,105.0833333,3
48802099999,SA PA,1959-05-02,2024-03-17,null,VM,22.35,103.8166667,1581
48896299999,SAIGON/BIEN/HOA,1958-12-31,1975-04-28,null,VM,10.967,106.817,11
48806099999,SON LA,1997-03-01,2024-03-17,null,VM,21.3333333,103.9,676
48910599999,TAN AN,1967-06-30,1970-09-07,null,VM,10.55,106.4,3
48900099999,TANSONNHAT INTL,1949-01-02,2024-03-17,null,VM,10.818797,106.651856,10.05
48891599999,TAY NINH WEST,1966-11-30,1970-08-07,null,VM,11.317,106.067,8
48831099999,THAI NGUYEN,1974-09-24,2024-03-17,null,VM,21.6,105.8333333,32
48840099999,THANH HOA,1974-09-24,2024-03-17,null,VM,19.75,105.7833333,5
48873099999,TUY-HOA,1956-12-31,2013-11-15,null,VM,13.083,109.283,11
99999941068,VANDERGRIF,1968-07-14,1969-09-30,null,VM,16.683,106.833,36.9
48845099999,VINH,1974-09-24,2024-03-17,null,VM,18.736725,105.670881,5.18
48910099999,VINH LONG,1963-05-15,1997-12-27,null,VM,10.25,105.95,3
